"Sample","Site","Easting","Northing","Rep","Gambusia holbrooki","Arenigobius bifrenatus","Mugil cephalus","Acanthopagrus butcheri","Limnodynastes dorsalis","Pseudophryne guentheri","Anas platyrhynchos","Spilopelia chinensis","Porphyrio porphyrio","Porzana tabuensis","Egretta novaehollandiae","Trichoglossus rubritorquis","Bos taurus","Ovis sp.","Mus musculus","Rattus sp.","Blackfordia polytentaculata","Obelia bidentata","Phyllorhiza punctata","Aurelia sp.","Canis lupus familiaris"
"1a",1,400510,6468317,"a",1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
"1b",1,400510,6468317,"b",1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
"1c",1,400510,6468317,"c",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"1d",1,400510,6468317,"d",1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
"2a",2,400475,6468323,"a",1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"2b",2,400475,6468323,"b",1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"2c",2,400475,6468323,"c",1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"2d",2,400475,6468323,"d",1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"3a",3,400281,6468192,"a",1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3b",3,400281,6468192,"b",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"3c",3,400281,6468192,"c",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"3d",3,400281,6468192,"d",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"4a",4,400109,6468014,"a",1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0
"4b",4,400109,6468014,"b",1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0
"4c",4,400109,6468014,"c",1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
"4d",4,400109,6468014,"d",1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0
"5a",5,400045,6467960,"a",1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0
"5b",5,400045,6467960,"b",1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0
"5c",5,400045,6467960,"c",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
"5d",5,400045,6467960,"d",1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0
"6a",6,399967,6468019,"a",1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0
"6b",6,399967,6468019,"b",1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"6c",6,399967,6468019,"c",1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"6d",6,399967,6468019,"d",1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0
"7a",7,399929,6468132,"a",0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"7b",7,399929,6468132,"b",1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"7c",7,399929,6468132,"c",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7d",7,399929,6468132,"d",1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"8a",8,399993,6468017,"a",1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"8b",8,399993,6468017,"b",1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"8c",8,399993,6468017,"c",1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"8d",8,399993,6468017,"d",1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"9a",9,400051,6468170,"a",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
"9b",9,400051,6468170,"b",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"9c",9,400051,6468170,"c",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"9d",9,400051,6468170,"d",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"10a",10,400110,6468046,"a",1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"10b",10,400110,6468046,"b",1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"10c",10,400110,6468046,"c",1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"10d",10,400110,6468046,"d",1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"11a",11,400415,6468275,"a",1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"11b",11,400415,6468275,"b",1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"11c",11,400415,6468275,"c",1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"11d",11,400415,6468275,"d",1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"12a",12,400411,6468323,"a",1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"12b",12,400411,6468323,"b",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"12c",12,400411,6468323,"c",1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0
"12d",12,400411,6468323,"d",1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"13a",13,400317,6468227,"a",1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"13b",13,400317,6468227,"b",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"13c",13,400317,6468227,"c",0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"13d",13,400317,6468227,"d",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"14a",14,400237,6468149,"a",1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"14b",14,400237,6468149,"b",1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"14c",14,400237,6468149,"c",0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"14d",14,400237,6468149,"d",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"15a",15,400167,6468082,"a",1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
"15b",15,400167,6468082,"b",1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0
"15c",15,400167,6468082,"c",1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0
"15d",15,400167,6468082,"d",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
"16a",16,400050,6468253,"a",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"16b",16,400050,6468253,"b",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"16c",16,400050,6468253,"c",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"16d",16,400050,6468253,"d",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"17a",17,400306,6468243,"a",1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"17b",17,400306,6468243,"b",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"17c",17,400306,6468243,"c",0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"17d",17,400306,6468243,"d",1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
